Directory,Column 1,Column 2,Column 3
alexa_chat_results,0,0,0
Food&Drink,0,0,204
Travel&Transportation,0,0,29
Shopping,0,0,0
SmartHome,0,0,74
ConnectedCar,0,0,15
Lifestyle,0,0,626
Sports,0,0,11
Local,0,0,7
Utilities,0,0,0
Social,0,0,64
Business&Finance,0,0,144
News,0,0,65
Movies&TV,0,0,0
Games&Trivia,0,0,194
Education&Reference,0,0,484
Music&Audio,0,0,868
Weather,0,0,22
Communication,0,0,0
Health&Fitness,0,0,185
Kids,0,0,244
Novelty&Humor,0,0,246
HomeServices,0,0,0
Productivity,0,0,0
