Count Type,Count Value,File Occurrences
Line Count,2,1085
Line Count,3,1798
Line Count,4,3834
Line Count,5,2819
Line Count,6,401
Line Count,7,164
Line Count,8,65
Line Count,9,103
Line Count,10,32
Line Count,11,37
Line Count,12,15
Line Count,13,6
Line Count,14,8
Line Count,15,7
Line Count,16,8
Line Count,17,3
Line Count,18,3
Line Count,19,7
Line Count,20,6
Line Count,21,4
Line Count,22,1
Line Count,24,2
Line Count,28,1
Line Count,30,2
Line Count,31,1
Line Count,33,1
Line Count,34,1
Line Count,37,1
Line Count,38,1
Line Count,42,1
Line Count,48,1
Invocation Count,0,10140
Invocation Count,1,166
Invocation Count,2,112
